Source,Target,Direction
100182356,2382106993,Directed
100182356,807095,Directed
100182356,250669155,Directed
100182356,1352696833,Directed
100182356,17842366,Directed
100182356,46460771,Directed
100182356,939053934232195072,Directed
100182356,1536985542,Directed
100182356,425174254,Directed
100182356,215436051,Directed
100182356,2292445824,Directed
100182356,1130483779,Directed
100182356,780271424833486848,Directed
100182356,2574774714,Directed
100182356,697341375394816001,Directed
100182356,742339826607882240,Directed
100182356,2248872301,Directed
100182356,740547410485780480,Directed
100182356,2830067265,Directed
100182356,117029568,Directed
100182356,1130893345075716096,Directed
100182356,2397410880,Directed
100182356,41193473,Directed
100182356,5402612,Directed
100182356,24670042,Directed
100182356,19017675,Directed
100182356,3365970803,Directed
100182356,1055724528,Directed
100182356,1090232196009545728,Directed
100182356,573109696,Directed
100182356,796631720531476480,Directed
100182356,1614572052,Directed
100182356,1002475729,Directed
100182356,844578961413853184,Directed
100182356,2435997204,Directed
100182356,859780125637959685,Directed
100182356,783214,Directed
100182356,1073461458,Directed
100182356,864554093825675265,Directed
100182356,953595684929921024,Directed
100182356,1612906027,Directed
100182356,391521421,Directed
100182356,1536791610,Directed
100182356,580682368,Directed
100182356,2744759990,Directed
100182356,729583491768291328,Directed
100182356,241048092,Directed
100182356,481439919,Directed
100182356,778686083542298625,Directed
100182356,1115348904,Directed
100182356,76979225,Directed
100182356,507215842,Directed
100182356,1086008910,Directed
100182356,1330457336,Directed
100182356,14293310,Directed
100182356,1015584793910743040,Directed
100182356,232192611,Directed
100182356,2780663566,Directed
100182356,734493,Directed
100182356,3511766296,Directed
100182356,1049312230502748161,Directed
100182356,50393960,Directed
100182356,916349221455974402,Directed
100182356,16689804,Directed
100182356,455658811,Directed
100182356,962094450,Directed
100182356,22545453,Directed
100182356,561353012,Directed
100182356,102358648,Directed
100182356,21232519,Directed
100182356,812012427848122368,Directed
100182356,113211856,Directed
100182356,3564617895,Directed
100182356,3337602141,Directed
100182356,710123736175783938,Directed
100182356,883976816331018240,Directed
100182356,1650606786,Directed
100182356,529352320,Directed
100182356,16048357,Directed
100182356,909749408484528128,Directed
100182356,2853526214,Directed
100182356,50374439,Directed
100182356,532090459,Directed
100182356,900391673766838273,Directed
100182356,948160647640092672,Directed
100182356,43932737,Directed
100182356,335455570,Directed
100182356,295061293,Directed
100182356,777063038906228736,Directed
100182356,955868514237210624,Directed
100182356,783324673513758728,Directed
100182356,800765605,Directed
100182356,4263007693,Directed
100182356,1383668882,Directed
100182356,17484680,Directed
100182356,2670627368,Directed
100182356,2482290204,Directed
100182356,721588314,Directed
100182356,60049302,Directed
100182356,1530338982,Directed
100182356,83795099,Directed
100182356,817385715126435841,Directed
100182356,2916305152,Directed
100182356,703533129252925441,Directed
100182356,25502100,Directed
100182356,107122128,Directed
100182356,17471979,Directed
100182356,1707321486,Directed
100182356,1882712942,Directed
100182356,945704600,Directed
100182356,94331772,Directed
100182356,115404768,Directed
100182356,23090019,Directed
100182356,2880926183,Directed
100182356,522149495,Directed
100182356,3290907035,Directed
100182356,701726371815563264,Directed
100182356,774695190225383424,Directed
100182356,856551428512333824,Directed
100182356,943051637400186885,Directed
100182356,1531594201,Directed
100182356,346048464,Directed
100182356,52401341,Directed
100182356,4906273985,Directed
100182356,2482921160,Directed
100182356,4517808328,Directed
100182356,104782747,Directed
100182356,212898002,Directed
100182356,822215679726100480,Directed
100182356,573843586,Directed
100182356,2776583390,Directed
100182356,2929414877,Directed
100182356,393861620,Directed
100182356,473980663,Directed
100182356,1057442070,Directed
100182356,897947522,Directed
100182356,1388943902,Directed
100182356,4398626122,Directed
100182356,3214383995,Directed
100182356,46648807,Directed
100182356,362334069,Directed
